paper_id,title,chunk_id,chunk_text
11,"MLBench: How Good Are Machine Learning Clouds for Binary Classification
  Tasks on Structured Data?",11_3,"We study this question with a focus on binary classication problems. We
present mlbench, a novel benchmark constructed by harvesting datasets from
Kaggle competitions."
11,"MLBench: How Good Are Machine Learning Clouds for Binary Classification
  Tasks on Structured Data?",11_4,"We then compare the performance of the top winning code
available from Kaggle with that of running machine learning clouds from both
Azure and Amazon on mlbench."
11,"MLBench: How Good Are Machine Learning Clouds for Binary Classification
  Tasks on Structured Data?",11_5,"Our comparative study reveals the strength and
weakness of existing machine learning clouds and points out potential future
directions for improvement."
12,Data Pricing in Machine Learning Pipelines,12_0,Machine learning is disruptive.
12,Data Pricing in Machine Learning Pipelines,12_1,"At the same time, machine learning can only
succeed by collaboration among many parties in multiple steps naturally as
pipelines in an eco-system, such as collecting data for possible machine
learning applications, collaboratively training models by multiple parties and
delivering machine learning services to end users."
12,Data Pricing in Machine Learning Pipelines,12_2,"Data is critical and
penetrating in the whole machine learning pipelines."
12,Data Pricing in Machine Learning Pipelines,12_3,"As machine learning
pipelines involve many parties and, in order to be successful, have to form a
constructive and dynamic eco-system, marketplaces and data pricing are
fundamental in connecting and facilitating those many parties."
12,Data Pricing in Machine Learning Pipelines,12_4,"In this article,
we survey the principles and the latest research development of data pricing in
machine learning pipelines. We start with a brief review of data marketplaces
and pricing desiderata."
12,Data Pricing in Machine Learning Pipelines,12_5,"Then, we focus on pricing in three important steps in
machine learning pipelines. To understand pricing in the step of training data
collection, we review pricing raw data sets and data labels."
12,Data Pricing in Machine Learning Pipelines,12_6,"We also
investigate pricing in the step of collaborative training of machine learning
models, and overview pricing machine learning models for end users in the step
of machine learning deployment."
12,Data Pricing in Machine Learning Pipelines,12_7,"We also discuss a series of possible future
directions."
13,Techniques for Automated Machine Learning,13_0,"Automated machine learning (AutoML) aims to find optimal machine learning
solutions automatically given a machine learning problem."
13,Techniques for Automated Machine Learning,13_1,"It could release the
burden of data scientists from the multifarious manual tuning process and
enable the access of domain experts to the off-the-shelf machine learning
solutions without extensive experience."
13,Techniques for Automated Machine Learning,13_2,"In this paper, we review the current
developments of AutoML in terms of three categories, automated feature
engineering (AutoFE), automated model and hyperparameter learning (AutoMHL),
and automated deep learning (AutoDL)."
13,Techniques for Automated Machine Learning,13_3,"State-of-the-art techniques adopted in
the three categories are presented, including Bayesian optimization,
reinforcement learning, evolutionary algorithm, and gradient-based approaches."
13,Techniques for Automated Machine Learning,13_4,"We summarize popular AutoML frameworks and conclude with current open
challenges of AutoML."
14,"The Landscape of Modern Machine Learning: A Review of Machine,
  Distributed and Federated Learning",14_0,"With the advance of the powerful heterogeneous, parallel and distributed
computing systems and ever increasing immense amount of data, machine learning
has become an indispensable part of cutting-edge technology, scientific
research and consumer products."
14,"The Landscape of Modern Machine Learning: A Review of Machine,
  Distributed and Federated Learning",14_1,"In this study, we present a review of modern
machine and deep learning. We provide a high-level overview for the latest
advanced machine learning algorithms, applications, and frameworks."
14,"The Landscape of Modern Machine Learning: A Review of Machine,
  Distributed and Federated Learning",14_2,"Our
discussion encompasses parallel distributed learning, deep learning as well as
federated learning. As a result, our work serves as an introductory text to the
vast field of modern machine learning."
15,"Parallelization of Machine Learning Algorithms Respectively on Single
  Machine and Spark",15_0,"With the rapid development of big data technologies, how to dig out useful
information from massive data becomes an essential problem."
15,"Parallelization of Machine Learning Algorithms Respectively on Single
  Machine and Spark",15_1,"However, using
machine learning algorithms to analyze large data may be time-consuming and
inefficient on the traditional single machine."
15,"Parallelization of Machine Learning Algorithms Respectively on Single
  Machine and Spark",15_2,"To solve these problems, this
paper has made some research on the parallelization of several classic machine
learning algorithms respectively on the single machine and the big data
platform Spark."
15,"Parallelization of Machine Learning Algorithms Respectively on Single
  Machine and Spark",15_3,"We compare the runtime and efficiency of traditional machine
learning algorithms with parallelized machine learning algorithms respectively
on the single machine and Spark platform."
15,"Parallelization of Machine Learning Algorithms Respectively on Single
  Machine and Spark",15_4,"The research results have shown
significant improvement in runtime and efficiency of parallelized machine
learning algorithms."
16,AutoCompete: A Framework for Machine Learning Competition,16_0,"In this paper, we propose AutoCompete, a highly automated machine learning
framework for tackling machine learning competitions."
16,AutoCompete: A Framework for Machine Learning Competition,16_1,"This framework has been
learned by us, validated and improved over a period of more than two years by
participating in online machine learning competitions."
16,AutoCompete: A Framework for Machine Learning Competition,16_2,"It aims at minimizing
human interference required to build a first useful predictive model and to
assess the practical difficulty of a given machine learning challenge."
16,AutoCompete: A Framework for Machine Learning Competition,16_3,"The
proposed system helps in identifying data types, choosing a machine learn- ing
model, tuning hyper-parameters, avoiding over-fitting and optimization for a
provided evaluation metric."
16,AutoCompete: A Framework for Machine Learning Competition,16_4,"We also observe that the proposed system produces
better (or comparable) results with less runtime as compared to other
approaches."
17,Joint Training of Deep Boltzmann Machines,17_0,We introduce a new method for training deep Boltzmann machines jointly.
17,Joint Training of Deep Boltzmann Machines,17_1,"Prior
methods require an initial learning pass that trains the deep Boltzmann machine
greedily, one layer at a time, or do not perform well on classifi- cation
tasks."
18,"Proceedings of the 2016 ICML Workshop on #Data4Good: Machine Learning in
  Social Good Applications",18_0,"This is the Proceedings of the ICML Workshop on #Data4Good: Machine Learning
in Social Good Applications, which was held on June 24, 2016 in New York."
19,Mathematical Perspective of Machine Learning,19_0,"We take a closer look at some theoretical challenges of Machine Learning as a
function approximation, gradient descent as the default optimization algorithm,
limitations of fixed length and width networks and a different approach to RNNs
from a mathematical perspective."
20,Private Machine Learning via Randomised Response,20_0,"We introduce a general learning framework for private machine learning based
on randomised response."
20,Private Machine Learning via Randomised Response,20_1,"Our assumption is that all actors are potentially
adversarial and as such we trust only to release a single noisy version of an
individual's datapoint."
20,Private Machine Learning via Randomised Response,20_2,"We discuss a general approach that forms a consistent
way to estimate the true underlying machine learning model and demonstrate this
in the case of logistic regression."
21,Ten-year Survival Prediction for Breast Cancer Patients,21_0,"This report assesses different machine learning approaches to 10-year
survival prediction of breast cancer patients."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_0,"Machine learning develops rapidly, which has made many theoretical
breakthroughs and is widely applied in various fields."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_1,"Optimization, as an
important part of machine learning, has attracted much attention of
researchers."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_2,"With the exponential growth of data amount and the increase of
model complexity, optimization methods in machine learning face more and more
challenges."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_3,"A lot of work on solving optimization problems or improving
optimization methods in machine learning has been proposed successively."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_4,"The
systematic retrospect and summary of the optimization methods from the
perspective of machine learning are of great significance, which can offer
guidance for both developments of optimization and machine learning research."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_5,"In this paper, we first describe the optimization problems in machine learning. Then, we introduce the principles and progresses of commonly used optimization
methods."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_6,"Next, we summarize the applications and developments of optimization
methods in some popular machine learning fields."
22,A Survey of Optimization Methods from a Machine Learning Perspective,22_7,"Finally, we explore and give
some challenges and open problems for the optimization in machine learning."
23,Tuning Learning Rates with the Cumulative-Learning Constant,23_0,"This paper introduces a novel method for optimizing learning rates in machine
learning."
23,Tuning Learning Rates with the Cumulative-Learning Constant,23_1,"A previously unrecognized proportionality between learning rates and
dataset sizes is discovered, providing valuable insights into how dataset scale
influences training dynamics."
23,Tuning Learning Rates with the Cumulative-Learning Constant,23_2,"Additionally, a cumulative learning constant is
identified, offering a framework for designing and optimizing advanced learning
rate schedules."
23,Tuning Learning Rates with the Cumulative-Learning Constant,23_3,"These findings have the potential to enhance training
efficiency and performance across a wide range of machine learning
applications."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_0,The newly emerged machine learning (e.g.
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_1,"deep learning) methods have become a
strong driving force to revolutionize a wide range of industries, such as smart
healthcare, financial technology, and surveillance systems."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_2,"Meanwhile, privacy
has emerged as a big concern in this machine learning-based artificial
intelligence era."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_3,"It is important to note that the problem of privacy
preservation in the context of machine learning is quite different from that in
traditional data privacy protection, as machine learning can act as both friend
and foe."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_4,"Currently, the work on the preservation of privacy and machine
learning (ML) is still in an infancy stage, as most existing solutions only
focus on privacy problems during the machine learning process."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_5,"Therefore, a
comprehensive study on the privacy preservation problems and machine learning
is required. This paper surveys the state of the art in privacy issues and
solutions for machine learning."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_6,"The survey covers three categories of
interactions between privacy and machine learning: (i) private machine
learning, (ii) machine learning aided privacy protection, and (iii) machine
learning-based privacy attack and corresponding protection schemes."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_7,"The current
research progress in each category is reviewed and the key challenges are
identified."
24,When Machine Learning Meets Privacy: A Survey and Outlook,24_8,"Finally, based on our in-depth analysis of the area of privacy and
machine learning, we point out future research directions in this field."
25,Probabilistic Machine Learning for Healthcare,25_0,"Machine learning can be used to make sense of healthcare data. Probabilistic
machine learning models help provide a complete picture of observed data in
healthcare."
25,Probabilistic Machine Learning for Healthcare,25_1,"In this review, we examine how probabilistic machine learning can
advance healthcare."
25,Probabilistic Machine Learning for Healthcare,25_2,"We consider challenges in the predictive model building
pipeline where probabilistic models can be beneficial including calibration and
missing data."
25,Probabilistic Machine Learning for Healthcare,25_3,"Beyond predictive models, we also investigate the utility of
probabilistic machine learning models in phenotyping, in generative models for
clinical use cases, and in reinforcement learning."
26,Evaluation Challenges for Geospatial ML,26_0,"As geospatial machine learning models and maps derived from their predictions
are increasingly used for downstream analyses in science and policy, it is
imperative to evaluate their accuracy and applicability."
26,Evaluation Challenges for Geospatial ML,26_1,"Geospatial machine
learning has key distinctions from other learning paradigms, and as such, the
correct way to measure performance of spatial machine learning outputs has been
a topic of debate."
26,Evaluation Challenges for Geospatial ML,26_2,"In this paper, I delineate unique challenges of model
evaluation for geospatial machine learning with global or remotely sensed
datasets, culminating in concrete takeaways to improve evaluations of
geospatial model performance."
27,"A comprehensive review of Quantum Machine Learning: from NISQ to Fault
  Tolerance",27_0,"Quantum machine learning, which involves running machine learning algorithms
on quantum devices, has garnered significant attention in both academic and
business circles."
27,"A comprehensive review of Quantum Machine Learning: from NISQ to Fault
  Tolerance",27_1,"In this paper, we offer a comprehensive and unbiased review
of the various concepts that have emerged in the field of quantum machine
learning."
27,"A comprehensive review of Quantum Machine Learning: from NISQ to Fault
  Tolerance",27_2,"This includes techniques used in Noisy Intermediate-Scale Quantum
(NISQ) technologies and approaches for algorithms compatible with
fault-tolerant quantum computing hardware."
27,"A comprehensive review of Quantum Machine Learning: from NISQ to Fault
  Tolerance",27_3,"Our review covers fundamental
concepts, algorithms, and the statistical learning theory pertinent to quantum
machine learning."
28,Augmented Q Imitation Learning (AQIL),28_0,"The study of unsupervised learning can be generally divided into two
categories: imitation learning and reinforcement learning."
28,Augmented Q Imitation Learning (AQIL),28_1,"In imitation
learning the machine learns by mimicking the behavior of an expert system
whereas in reinforcement learning the machine learns via direct environment
feedback."
28,Augmented Q Imitation Learning (AQIL),28_2,"Traditional deep reinforcement learning takes a significant time
before the machine starts to converge to an optimal policy."
28,Augmented Q Imitation Learning (AQIL),28_3,"This paper proposes
Augmented Q-Imitation-Learning, a method by which deep reinforcement learning
convergence can be accelerated by applying Q-imitation-learning as the initial
training process in traditional Deep Q-learning."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_0,"Machine learning is an established and frequently used technique in industry
and academia but a standard process model to improve success and efficiency of
machine learning applications is still missing."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_1,"Project organizations and
machine learning practitioners have a need for guidance throughout the life
cycle of a machine learning application to meet business expectations."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_2,"We
therefore propose a process model for the development of machine learning
applications, that covers six phases from defining the scope to maintaining the
deployed machine learning application."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_3,"The first phase combines business and
data understanding as data availability oftentimes affects the feasibility of
the project."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_4,"The sixth phase covers state-of-the-art approaches for monitoring
and maintenance of a machine learning applications, as the risk of model
degradation in a changing environment is eminent."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_5,"With each task of the
process, we propose quality assurance methodology that is suitable to adress
challenges in machine learning development that we identify in form of risks."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_6,"The methodology is drawn from practical experience and scientific literature
and has proven to be general and stable."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_7,"The process model expands on CRISP-DM,
a data mining process model that enjoys strong industry support but lacks to
address machine learning specific tasks."
29,"Towards CRISP-ML(Q): A Machine Learning Process Model with Quality
  Assurance Methodology",29_8,"Our work proposes an industry and
application neutral process model tailored for machine learning applications
with focus on technical tasks for quality assurance."
30,"Temporal-related Convolutional-Restricted-Boltzmann-Machine capable of
  learning relational order via reinforcement learning procedure?",30_0,"In this article, we extend the conventional framework of
convolutional-Restricted-Boltzmann-Machine to learn highly abstract features
among abitrary number of time related input maps by constructing a layer of
multiplicative units, which capture the relations among inputs."
30,"Temporal-related Convolutional-Restricted-Boltzmann-Machine capable of
  learning relational order via reinforcement learning procedure?",30_1,"In many cases,
more than two maps are strongly related, so it is wise to make multiplicative
unit learn relations among more input maps, in other words, to find the optimal
relational-order of each unit."
30,"Temporal-related Convolutional-Restricted-Boltzmann-Machine capable of
  learning relational order via reinforcement learning procedure?",30_2,"In order to enable our machine to learn
relational order, we developed a reinforcement-learning method whose optimality
is proven to train the network."
31,Spatial Transfer Learning with Simple MLP,31_0,"First step to investigate the potential of transfer learning applied to the
field of spatial statistics"
32,"Proceedings of the 29th International Conference on Machine Learning
  (ICML-12)",32_0,"This is an index to the papers that appear in the Proceedings of the 29th
International Conference on Machine Learning (ICML-12)."
32,"Proceedings of the 29th International Conference on Machine Learning
  (ICML-12)",32_1,"The conference was held
in Edinburgh, Scotland, June 27th - July 3rd, 2012."
33,Distributed Multi-Task Learning with Shared Representation,33_0,"We study the problem of distributed multi-task learning with shared
representation, where each machine aims to learn a separate, but related, task
in an unknown shared low-dimensional subspaces, i.e."
33,Distributed Multi-Task Learning with Shared Representation,33_1,"when the predictor matrix
has low rank."
33,Distributed Multi-Task Learning with Shared Representation,33_2,"We consider a setting where each task is handled by a different
machine, with samples for the task available locally on the machine, and study
communication-efficient methods for exploiting the shared structure."
34,Components of Machine Learning: Binding Bits and FLOPS,34_0,"Many machine learning problems and methods are combinations of three
components: data, hypothesis space and loss function."
34,Components of Machine Learning: Binding Bits and FLOPS,34_1,"Different machine
learning methods are obtained as combinations of different choices for the
representation of data, hypothesis space and loss function."
34,Components of Machine Learning: Binding Bits and FLOPS,34_2,"After reviewing the
mathematical structure of these three components, we discuss intrinsic
trade-offs between statistical and computational properties of machine learning
methods."
35,Impact of Legal Requirements on Explainability in Machine Learning,35_0,"The requirements on explainability imposed by European laws and their
implications for machine learning (ML) models are not always clear."
35,Impact of Legal Requirements on Explainability in Machine Learning,35_1,"In that
perspective, our research analyzes explanation obligations imposed for private
and public decision-making, and how they can be implemented by machine learning
techniques."
36,Machine Learning Potential Repository,36_0,"This paper introduces a machine learning potential repository that includes
Pareto optimal machine learning potentials."
36,Machine Learning Potential Repository,36_1,"It also shows the systematic
development of accurate and fast machine learning potentials for a wide range
of elemental systems."
36,Machine Learning Potential Repository,36_2,"As a result, many Pareto optimal machine learning
potentials are available in the repository from a website."
36,Machine Learning Potential Repository,36_3,"Therefore, the
repository will help many scientists to perform accurate and fast atomistic
simulations."
37,Quantum memristors for neuromorphic quantum machine learning,37_0,"Quantum machine learning may permit to realize more efficient machine
learning calculations with near-term quantum devices."
37,Quantum memristors for neuromorphic quantum machine learning,37_1,"Among the diverse quantum
machine learning paradigms which are currently being considered, quantum
memristors are promising as a way of combining, in the same quantum hardware, a
unitary evolution with the nonlinearity provided by the measurement and
feedforward."
37,Quantum memristors for neuromorphic quantum machine learning,37_2,"Thus, an efficient way of deploying neuromorphic quantum computing
for quantum machine learning may be enabled."
38,metric-learn: Metric Learning Algorithms in Python,38_0,"metric-learn is an open source Python package implementing supervised and
weakly-supervised distance metric learning algorithms."
38,metric-learn: Metric Learning Algorithms in Python,38_1,"As part of
scikit-learn-contrib, it provides a unified interface compatible with
scikit-learn which allows to easily perform cross-validation, model selection,
and pipelining with other machine learning estimators."
38,metric-learn: Metric Learning Algorithms in Python,38_2,"metric-learn is
thoroughly tested and available on PyPi under the MIT licence."
39,Theoretical Models of Learning to Learn,39_0,"A Machine can only learn if it is biased in some way. Typically the bias is
supplied by hand, for example through the choice of an appropriate set of
features."
39,Theoretical Models of Learning to Learn,39_1,"However, if the learning machine is embedded within an {\em
environment} of related tasks, then it can {\em learn} its own bias by learning
sufficiently many tasks from the environment."
39,Theoretical Models of Learning to Learn,39_2,"In this paper two models of bias
learning (or equivalently, learning to learn) are introduced and the main
theoretical results presented."
39,Theoretical Models of Learning to Learn,39_3,"The first model is a PAC-type model based on
empirical process theory, while the second is a hierarchical Bayes model."
40,"An Aggregate and Iterative Disaggregate Algorithm with Proven Optimality
  in Machine Learning",40_0,"We propose a clustering-based iterative algorithm to solve certain
optimization problems in machine learning, where we start the algorithm by
aggregating the original data, solving the problem on aggregated data, and then
in subsequent steps gradually disaggregate the aggregated data."
40,"An Aggregate and Iterative Disaggregate Algorithm with Proven Optimality
  in Machine Learning",40_1,"We apply the
algorithm to common machine learning problems such as the least absolute
deviation regression problem, support vector machines, and semi-supervised
support vector machines."
40,"An Aggregate and Iterative Disaggregate Algorithm with Proven Optimality
  in Machine Learning",40_2,"We derive model-specific data aggregation and
disaggregation procedures. We also show optimality, convergence, and the
optimality gap of the approximated solution in each iteration."
40,"An Aggregate and Iterative Disaggregate Algorithm with Proven Optimality
  in Machine Learning",40_3,"A computational
study is provided."
41,Human-in-the-loop Machine Learning: A Macro-Micro Perspective,41_0,"Though technical advance of artificial intelligence and machine learning has
enabled many promising intelligent systems, many computing tasks are still not
able to be fully accomplished by machine intelligence."
41,Human-in-the-loop Machine Learning: A Macro-Micro Perspective,41_1,"Motivated by the
complementary nature of human and machine intelligence, an emerging trend is to
involve humans in the loop of machine learning and decision-making."
41,Human-in-the-loop Machine Learning: A Macro-Micro Perspective,41_2,"In this
paper, we provide a macro-micro review of human-in-the-loop machine learning. We first describe major machine learning challenges which can be addressed by
human intervention in the loop."
41,Human-in-the-loop Machine Learning: A Macro-Micro Perspective,41_3,"Then we examine closely the latest research and
findings of introducing humans into each step of the lifecycle of machine
learning."
